n,Sit,13,New York Jets
n,Sit,13,San Diego Chargers
o,Start,13,Shayne Graham
n,Start,13,Mike Nugent
n,Start,13,Randy Bullock
n,Start,13,Chandler Catanzaro
o,Sit,13,Nick Novak
n,Sit,13,Mason Crosby
n,Sit,13,Connor Barth
n,Sit,13,Sebastian Janikowski
o,Start,13,Josh Gordon
n,Start,13,T.Y. Hilton
n,Start,13,Odell Beckham
n,Start,13,Julian Edelman
n,Start,13,Mike Wallace
o,Sit,13,Vincent Jackson
n,Sit,13,Sammy Watkins
n,Sit,13,Percy Harvin
n,Sit,13,Andre Johnson
n,Sit,13,Pierre Garcon
o,Start,13,Andre Ellington
n,Start,13,Mark Ingram
n,Start,13,Rashad Jennings
n,Start,13,Alfred Morris
n,Start,13,Denard Robinson
o,Sit,13,Trent Richardson
n,Sit,13,Lamar Miller
n,Sit,13,Ryan Mathews
n,Sit,13,LeGarrette Blount
n,Sit,13,Steven Jackson
o,Start,13,Greg Olsen
n,Start,13,Coby Fleener
n,Start,13,Travis Kelce
n,Start,13,Delanie Walker
n,Start,13,Antonio Gates
o,Sit,13,Owen Daniels
n,Sit,13,Heath Miller
n,Sit,13,Scott Chandler
n,Sit,13,Jacob Tamme
n,Sit,13,Mychal Rivera
o,Start,13,Ben Roethlisberger
n,Start,13,Ryan Tannehill
n,Start,13,Cam Newton
n,Start,13,Alex Smith
n,Start,13,Joe Flacco
o,Sit,13,Eli Manning
n,Sit,13,Philip Rivers
n,Sit,13,Matt Ryan
n,Sit,13,Josh McCown
n,Sit,13,Geno Smith
o,Start,12,San Francisco 49ers
n,Start,12,Buffalo Bills
n,Start,12,Indianapolis Colts
n,Start,12,Green Bay Packers
o,Sit,12,Miami Dolphins
n,Sit,12,Detroit Lions
n,Sit,12,New Orleans Saints
n,Sit,12,Arizona Cardinals
o,Start,12,Adam Vinatieri
n,Start,12,Justin Tucker
n,Start,12,Dan Bailey
n,Start,12,Cody Parkey
o,Sit,12,Greg Zuerlein
n,Sit,12,Brandon McManus
n,Sit,12,Blair Walsh
n,Sit,12,Mike Nugent
o,Start,12,LeSean McCoy
n,Start,12,Justin Forsett
n,Start,12,C.J. Anderson
n,Start,12,Denard Robinson
n,Start,12,Rashad Jennings
o,Sit,12,Alfred Morris
n,Sit,12,Lamar Miller
n,Sit,12,Fred Jackson
n,Sit,12,Jonas Gray
n,Sit,12,Jerick McKinnon
o,Start,12,Alshon Jeffery
n,Start,12,T.Y. Hilton
n,Start,12,Sammy Watkins
n,Start,12,Mike Evans
n,Start,12,Torrey Smith
o,Sit,12,Andre Johnson
n,Sit,12,Golden Tate
n,Sit,12,Larry Fitzgerald
n,Sit,12,Pierre Garcon
n,Sit,12,Kenny Britt
o,Start,12,Antonio Gates
n,Start,12,Delanie Walker
n,Start,12,Jason Witten
n,Start,12,Coby Fleener
n,Start,12,Larry Donnell
o,Sit,12,Martellus Bennett
n,Sit,12,Zach Ertz
n,Sit,12,Kyle Rudolph
n,Sit,12,Owen Daniels
n,Sit,12,Jermaine Gresham
o,Start,12,Tony Romo
n,Start,12,Colin Kaepernick
n,Start,12,Jay Cutler
n,Start,12,Matt Ryan
n,Start,12,Eli Manning
o,Sit,12,Robert Griffin III
n,Sit,12,Russell Wilson
n,Sit,12,Philip Rivers
n,Sit,12,Joe Flacco
n,Sit,12,Michael Vick
o,Start,11,Shayne Graham
n,Start,11,Blair Walsh
n,Start,11,Phil Dawson
n,Start,11,Brandon McManus
o,Sit,11,Matt Prater
n,Sit,11,Steven Hauschka
n,Sit,11,Matt Bryant
n,Sit,11,Randy Bullock
o,Start,11,Denver Broncos
n,Start,11,Detroit Lions
n,Start,11,New Orleans Saints
n,Start,11,Pittsburgh Steelers
o,Sit,11,New England Patriots
n,Sit,11,Cincinnati Bengals
n,Sit,11,Houston Texans
n,Sit,11,Philadelphia Eagles
o,Start,11,Mark Ingram
n,Start,11,Alfred Morris
n,Start,11,Ahmad Bradshaw
n,Start,11,Frank Gore
n,Start,11,Steven Jackson
o,Sit,11,Reggie Bush
n,Sit,11,Bobby Rainey
n,Sit,11,Tre Mason
n,Sit,11,Jerick McKinnon
n,Sit,11,Darren McFadden
o,Start,11,Matthew Stafford
n,Start,11,Colin Kaepernick
n,Start,11,Jay Cutler
n,Start,11,Matt Ryan
n,Start,11,Robert Griffin III
o,Sit,11,Russell Wilson
n,Sit,11,Philip Rivers
n,Sit,11,Cam Newton
n,Sit,11,Andy Dalton
n,Sit,11,Eli Manning
o,Start,11,DeSean Jackson
n,Start,11,Kelvin Benjamin
n,Start,11,Odell Beckham
n,Start,11,Roddy White
n,Start,11,Golden Tate
o,Sit,11,Andre Johnson
n,Sit,11,Michael Crabtree
n,Sit,11,Marques Colston
n,Sit,11,Michael Floyd
n,Sit,11,Dwayne Bowe
o,Start,11,Dwayne Allen
n,Start,11,Travis Kelce
n,Start,11,Greg Olsen
n,Start,11,Antonio Gates
n,Start,11,Jordan Reed
